Unnamed: 0,image,crop_id,particle_id,X,Y,radius_px,radius_um,overlapping,filtered,BF_px,BF_mean,BF_mean_filt,BF_sd,BF_min,BF_max,ACTB_px,ACTB_mean,ACTB_mean_filt,ACTB_sd,ACTB_min,ACTB_max,PTPRC_px,PTPRC_mean,PTPRC_mean_filt,PTPRC_sd,PTPRC_min,PTPRC_max,YAP_px,YAP_mean,YAP_mean_filt,YAP_sd,YAP_min,YAP_max,class
38,0,38,38,813,600,61,61.0,False,True,11679.0,36532.68439078688,36429.1534996535,6777.231988708599,0.0,65535.0,11679.0,3.2653480606216285,3.0,1.1346041222681131,1.0,8.0,11679.0,2.4054285469646373,2.4054285469646373,0.7875266916770591,0.0,5.0,11679.0,2.662984844592859,2.662984844592859,1.0132907493293246,0.0,9.0,Empty
39,0,39,39,1222,370,60,60.0,False,True,11287.0,37904.55816425977,37881.7793562309,5739.1128826860595,3374.0,65535.0,11287.0,4.329937095773899,4.0,1.288715643111815,1.0,14.0,11287.0,2.264640737131213,2.264640737131213,0.8096235053698322,0.0,7.0,11287.0,3.2354035616195618,3.2354035616195618,1.0469416845403114,1.0,8.0,Empty
40,0,40,40,1902,960,61,61.0,False,True,11679.0,35252.64654508091,35581.479425669764,6248.226491244733,0.0,65535.0,11679.0,2.9191711619145475,3.0,1.1113876908026687,0.0,7.0,11679.0,1.8684818905728233,1.8684818905728233,0.7352737359162935,0.0,6.0,11679.0,2.731312612381197,2.731312612381197,0.9904440662560904,1.0,7.0,Empty
41,0,41,41,690,829,65,65.0,False,True,13271.0,37328.48451510813,36963.86933292627,5218.197505415873,17994.0,65535.0,13271.0,3.2237208951849903,3.0,1.150650962988019,1.0,8.0,13271.0,2.3588275186496874,2.3588275186496874,0.7556216040147249,1.0,8.0,13271.000000000002,2.6574485720744483,2.6574485720744483,1.0057015222488723,1.0,9.0,Empty
42,0,42,42,1189,610,64,64.0,False,True,12851.0,37298.3262002957,37448.80479289002,6605.596066649345,511.0,65535.0,12851.0,3.531009259979768,3.531009259979768,1.0728064905824999,1.0,7.0,12851.000000000002,2.3254999610925218,2.3254999610925218,0.7833292243879639,1.0,6.0,12851.0,2.8315306201851995,2.8315306201851995,1.0268462305942294,1.0,7.0,Empty
43,0,43,43,193,232,62,62.0,False,True,12058.999999999998,33091.42043287172,33485.619031719536,7850.145616265175,0.0,65535.0,12059.0,41.118500704867735,40.70512157268495,27.95077245106814,2.0,183.0,12059.0,4.7628327390330885,4.7628327390330885,9.964276941282305,1.0,97.0,12059.0,23.888050418774363,24.40373212417161,13.277636042582614,2.0,98.0,Nucleus
44,0,44,44,951,499,62,62.0,False,True,12059.0,37135.5300605357,37315.54392743155,7147.818526934794,0.0,65535.0,12059.0,3.4655444066672194,3.4655444066672194,1.0756459247740684,1.0,8.0,12059.0,2.6435027780081266,2.6435027780081266,0.7952518123941981,1.0,6.0,12059.0,2.830168338999917,2.830168338999917,1.1022891829109112,1.0,8.0,Empty
45,0,45,45,1416,174,62,62.0,False,True,12059.0,36585.70005804793,36935.68411340379,7726.9396655306955,0.0,65535.0,12058.999999999998,4.448627581059791,4.448627581059791,1.2708147500996936,1.0,9.0,12058.999999999998,2.1711584708516463,2.1711584708516463,0.7980784263290619,1.0,6.0,12059.0,3.288498217099262,3.288498217099262,1.066855272616744,1.0,9.0,Empty
46,0,46,46,1282,231,57,57.0,False,True,10187.0,37322.524001177975,37305.71628548897,7366.227789523383,4601.0,65535.0,10187.0,3.407578286050849,3.407578286050849,1.028299622439427,1.0,8.0,10187.0,2.1169137135564937,2.1169137135564937,0.7331602008814275,0.0,6.0,10187.0,3.1704132718170217,3.0,1.0644381714329578,1.0,8.0,Empty
47,0,47,47,468,525,61,61.0,False,True,11678.999999999998,36104.46202585838,36075.45705361791,6259.770168815578,1125.0,65535.0,11679.0,3.527356794246083,3.527356794246083,1.2149357885538492,1.0,8.0,11679.0,2.160544567171847,2.160544567171847,0.7484309549330365,1.0,6.0,11679.0,2.9056426063875334,3.0,1.0183696020152402,1.0,7.0,Empty
48,0,48,48,1189,949,62,62.0,False,True,12059.0,36709.56248445145,36932.41721078185,6221.543772261352,613.0,65535.0,12059.0,2.7935981424662075,2.7935981424662075,1.0030745412239044,0.0,7.0,12059.0,2.7215357824031843,2.7215357824031843,0.8224459724923894,1.0,7.0,12059.0,2.6796583464632224,2.6796583464632224,1.0276676765874098,0.0,8.0,Empty
49,0,49,49,298,283,56,56.0,False,True,9843.0,34916.936299908564,34491.5142092257,7403.400257027054,4907.0,65535.0,9843.0,22.900132073554808,20.854152445961322,17.95590122740649,2.0,136.0,9843.0,3.5961597074062785,3.5961597074062785,3.6168711712871517,1.0,30.0,9843.0,18.35964644925328,17.78445929225439,9.86347344801936,1.0,64.0,Nucleus
50,0,50,50,2022,897,61,61.0,False,True,11679.0,34590.83072180837,34679.063714335716,5971.020064961891,0.0,65535.0,11679.0,2.588406541655964,2.588406541655964,0.95710153414797,0.0,7.0,11679.0,1.590375888346605,1.590375888346605,0.642446295067195,0.0,5.0,11679.0,2.501241544652796,2.501241544652796,0.935625175216674,1.0,6.0,Empty
51,0,51,51,114,417,60,60.0,False,True,11287.0,33470.810932931694,33682.743589743586,6720.883594974925,0.0,65535.0,11287.0,3.532382386816692,3.532382386816692,1.1823213527338374,1.0,16.0,11287.0,2.185257375742004,2.185257375742004,1.2673051905282655,0.0,18.0,11287.0,2.8350314521130504,2.8350314521130504,1.018776001801994,1.0,8.0,Empty
52,0,52,52,279,688,62,62.0,False,True,12059.0,35642.30284434862,35610.15301365301,6826.774333265369,0.0,65535.0,12059.0,2.58363048345634,2.58363048345634,1.0160993080978509,1.0,8.0,12059.000000000002,2.0574674516958287,2.0574674516958287,0.7154818952850606,0.0,6.0,12059.0,2.5005390165021977,2.5005390165021977,0.9740282067479632,1.0,7.0,Empty
53,0,53,53,1662,1054,62,62.0,False,True,12059.0,36337.59996682975,36809.81813576495,6476.959942701884,0.0,59196.0,12059.0,2.29397130773696,2.29397130773696,0.8443345783387622,1.0,7.0,12059.000000000002,2.241894021063106,2.241894021063106,0.7601154728159226,1.0,6.0,12059.0,2.418359731321005,2.418359731321005,0.9430405150415484,0.0,7.0,Empty
54,0,54,54,405,1120,62,62.0,False,True,12058.999999999998,35642.7014677834,36130.400368694485,6299.586621390727,0.0,65535.0,12059.0,2.6508831578074465,2.6508831578074465,1.037813076915226,0.0,7.0,12059.0,2.2473671117008043,2.2473671117008043,0.7766122710872687,1.0,6.0,12059.0,2.8042126212787126,2.8042126212787126,1.0376743501487111,1.0,7.0,Empty
55,0,55,55,318,1027,63,63.0,False,True,12451.0,35650.59730142157,35985.94737699576,6576.543667457905,0.0,65535.0,12451.0,2.5106417155248573,2.5106417155248573,0.9498441118709487,0.0,6.0,12450.999999999998,2.2380531684202074,2.2380531684202074,0.7668755945785709,0.0,7.0,12451.0,2.446229218536664,2.446229218536664,0.9115025604253996,0.0,7.0,Empty
56,0,56,56,492,733,62,62.0,False,True,12058.999999999998,35899.66498051248,36121.68455585464,6430.993172627154,204.0,65535.0,12059.0,2.4949000746330543,2.4949000746330543,0.9000297769253778,0.0,6.0,12059.000000000002,2.268513143710092,2.268513143710092,0.7899229772776837,1.0,7.0,12059.0,2.5098266854631395,2.5098266854631395,0.9711650651122872,1.0,7.0,Empty
57,0,57,57,456,871,60,60.0,False,True,11286.999999999998,35121.77531673607,36000.933925399644,8994.09167831534,0.0,65535.0,11287.0,25.156463187738105,23.92951452366443,15.907524037061028,1.0,109.0,11287.0,4.74377602551608,4.74377602551608,6.9539550575413305,1.0,62.0,11287.0,22.136440152387706,21.4417845484222,14.299303755895554,1.0,102.0,Nucleus
58,0,58,58,369,598,61,61.0,False,True,11679.0,35944.01738162513,35710.31853381518,6066.909681327304,12882.0,65535.0,11679.0,3.2863258840654166,3.2863258840654166,1.1083337274093312,1.0,8.0,11679.0,2.1768987070810857,2.1768987070810857,0.776645979128315,1.0,6.0,11679.0,2.628735336929532,2.628735336929532,1.0042378062225787,1.0,7.0,Empty
59,0,59,59,978,762,62,62.0,False,True,12059.0,37751.879757857205,37829.30737088417,6987.852180700145,204.0,65535.0,12059.0,2.5590845012024213,2.5590845012024213,0.922965880460024,0.0,7.0,12059.0,2.5235094120573844,2.5235094120573844,0.8264275083411581,1.0,6.0,12059.0,2.504187743593996,2.504187743593996,0.9407586449286568,1.0,8.0,Empty
60,0,60,60,354,462,62,62.0,False,True,12059.0,35215.4113939796,35379.8730820547,6650.9762813805555,307.0,65535.0,12059.0,2.8008126710340826,2.8008126710340826,0.9704802912338109,1.0,7.0,12059.0,1.937142383282196,1.937142383282196,0.711132726185662,0.0,5.0,12059.0,2.7166431710755448,2.7166431710755448,0.9551154914913874,0.0,7.0,Empty
61,0,61,61,1396,673,69,69.0,False,True,14947.0,37787.623201980336,37719.433595871815,6316.878801798103,4192.0,65535.0,14947.0,2.7260319796614705,2.7260319796614705,0.9884967924369678,0.0,9.0,14946.999999999998,2.128989094801633,2.128989094801633,0.7848548431754678,1.0,6.0,14947.0,2.531210276309628,2.531210276309628,1.0366983427902443,1.0,8.0,Empty
62,0,62,62,2055,763,61,61.0,False,True,11679.0,34273.79124925079,34524.89035851027,6055.987706367285,2965.0,65535.0,11679.0,2.9990581385392585,3.0,1.110743896089102,0.0,9.0,11679.0,1.6002226217998117,1.6002226217998117,0.636156865828057,0.0,5.0,11679.0,2.983560236321603,3.0,1.091374756093909,0.0,9.0,Empty
63,0,63,63,1782,1096,63,63.0,False,True,12451.0,35931.316842020715,36002.795087265666,5878.162366663189,204.0,65535.0,12451.0,2.664524937756004,2.664524937756004,1.0184121628632188,0.0,7.0,12451.0,1.9765480684282384,1.9765480684282384,0.7185793480848865,0.0,6.0,12451.000000000002,2.669504457473295,2.669504457473295,0.9295741882347116,1.0,7.0,Empty
64,0,64,64,937,882,62,62.0,False,True,12059.0,36718.86698731238,37254.90969788015,7165.577912123694,2658.0,64410.0,12059.0,2.5918401194128866,2.5918401194128866,0.9725921922444232,1.0,7.0,12059.0,2.5070901401442907,2.5070901401442907,0.8793238113021566,1.0,8.0,12059.0,2.696741023302098,2.696741023302098,0.9502938788126436,1.0,7.0,Empty
65,0,65,65,1617,813,61,61.0,False,True,11679.0,36724.31055741074,37088.95423262216,5889.208209928804,1431.0,64819.0,11678.999999999998,2.5366041613151813,2.5366041613151813,0.9948106521697982,0.0,6.0,11679.0,2.284955903758884,2.284955903758884,0.8178412747836995,1.0,6.0,11679.0,2.620943573936125,2.620943573936125,0.9696532986768176,0.0,6.0,Empty
66,0,66,66,567,978,60,60.0,False,True,11287.000000000002,35737.885000442984,36374.53528153956,7478.467907181684,0.0,64513.0,11287.0,3.3237352706653667,3.3237352706653667,1.0735786960122191,1.0,8.0,11287.0,2.5288384867546734,2.5288384867546734,0.8423306712555774,1.0,8.0,11287.0,2.8989988482324796,3.0,1.0413978569687339,1.0,9.0,Empty
67,0,67,67,1617,934,62,62.0,False,True,12059.000000000002,37130.78389584542,37232.28709186263,5863.415500628912,1534.0,65535.0,12059.0,2.4819636785803136,2.4819636785803136,0.9176575013765164,0.0,7.0,12059.0,2.428891284517788,2.428891284517788,0.8024846499716279,1.0,7.0,12059.0,2.562152748984161,2.562152748984161,0.9760447129876212,1.0,7.0,Empty
68,0,68,68,820,840,64,64.0,False,True,12851.0,36582.396000311266,36540.46401008033,6456.0330508281395,0.0,65535.0,12851.0,2.7130962571006147,2.7130962571006147,1.0081446357354351,1.0,7.0,12851.0,2.4778616450081707,2.4778616450081707,0.7563932184766726,1.0,6.0,12851.0,2.7014240136954313,2.7014240136954313,1.0388666638510546,0.0,7.0,Empty
69,0,69,69,1939,808,61,61.0,False,True,11679.000000000002,35630.96600736364,35797.64042810288,5616.84598702704,4090.0,65535.0,11679.0,2.676085281274082,2.676085281274082,1.0033606779095725,0.0,7.0,11679.0,1.867711276650398,1.867711276650398,0.7192992281426049,1.0,5.0,11679.0,2.8018665981676514,2.8018665981676514,1.0106682974208645,0.0,8.0,Empty
70,0,70,70,622,67,60,60.0,False,True,11287.000000000002,35354.37919730663,35656.95409718487,6992.888608108322,0.0,65535.0,11287.0,3.4160538672809433,3.4160538672809433,1.093656695897448,1.0,9.0,11287.0,1.8948347656596085,1.8948347656596085,0.6975617819914186,0.0,5.0,11287.0,3.042526800744219,3.0,1.0176778539274127,1.0,6.0,Empty
71,0,71,71,736,702,62,62.0,False,True,12059.000000000002,36103.15515382701,36427.390227349846,6301.90005913391,2249.0,64717.0,12059.0,2.9737125798159045,3.0,1.0637942725139522,1.0,7.0,12059.0,2.3897503938966747,2.3897503938966747,0.8261308466938887,1.0,6.0,12059.0,2.6297371257981594,2.6297371257981594,0.9908686779458412,0.0,7.0,Empty
72,0,72,72,1495,1147,61,61.0,False,True,11679.0,35852.025002140595,36226.386387253195,6134.566925744962,716.0,65535.0,11679.0,2.856665810428975,2.856665810428975,1.0284113045574526,0.0,6.0,11679.0,2.299940063361589,2.299940063361589,0.7792755036871315,1.0,6.0,11679.0,2.582840996660673,2.582840996660673,0.9843192757729438,1.0,7.0,Empty
